Dataset,Algorithm,Number of classes,Train size,Test size,CV index,MCC,TS,Specificity,AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Train time [s],Prediction time [s],Mixed
pima,1R-C,-1,-1,-1,8,0.304205096506848,0.3684210526315789,0.78,0.6492592592592593,0.6883116883116883,0.6833766233766234,0.6883116883116883,0.6853734500793325,39,11,13,14,0.7636454105377197,-1,0.6617282923433799
pima,1R-C,-1,-1,-1,9,0.4463560422746574,0.4193548387096774,0.9,0.7000000000000001,0.7631578947368421,0.7575115950796532,0.7631578947368421,0.7503987240829346,45,5,13,13,0.7551510334014893,-1,0.7349302239729787
pima,1R-C,-1,-1,-1,10,0.3919327193134037,0.4324324324324324,0.78,0.6976923076923077,0.7236842105263158,0.7263595496678202,0.7236842105263158,0.7248954289669284,39,11,10,16,0.8081672191619873,-1,0.7022486215462271
pima,C45-C,-1,-1,-1,1,0.3623286509262706,0.4054054054054054,0.8,0.6777777777777778,0.7142857142857143,0.70989010989011,0.7142857142857143,0.7115923292393881,40,10,12,15,0.6203782558441162,-1,0.6898014142312952
pima,C45-C,-1,-1,-1,2,0.4123951744684367,0.4285714285714285,0.84,0.6977777777777777,0.7402597402597403,0.7337348641696468,0.7402597402597403,0.7348651348651349,42,8,12,15,0.5856742858886719,-1,0.7157826924080947
pima,C45-C,-1,-1,-1,3,0.3444444444444444,0.3714285714285714,0.84,0.6607407407407406,0.7142857142857143,0.7040816326530612,0.7142857142857143,0.7045148247978437,42,8,14,13,0.6258397102355957,-1,0.6855056689342403
pima,C45-C,-1,-1,-1,4,0.4389381125701739,0.4411764705882353,0.86,0.7077777777777777,0.7532467532467533,0.7467532467532467,0.7532467532467533,0.7465323791854402,43,7,12,15,0.6207065582275391,-1,0.7289036155852187
pima,C45-C,-1,-1,-1,5,0.5907908398283784,0.5625,0.9,0.7833333333333333,0.8181818181818182,0.8155467720685112,0.8181818181818182,0.8144055944055943,45,5,9,18,0.6396033763885498,-1,0.8003168805948444
pima,C45-C,-1,-1,-1,6,0.4618833599503053,0.4193548387096774,0.92,0.7007407407407408,0.7662337662337663,0.7659791189202955,0.7662337662337663,0.7502951593860684,46,4,14,13,0.5315752029418945,-1,0.7390439175943238
pima,C45-C,-1,-1,-1,7,0.4398765500800706,0.4736842105263157,0.78,0.7233333333333333,0.7402597402597403,0.7452418271383789,0.7402597402597403,0.7422475483699973,39,11,9,18,0.6469283103942871,-1,0.7223987760037797
pima,C45-C,-1,-1,-1,8,0.6526124974714206,0.5862068965517241,0.96,0.7948148148148149,0.8441558441558441,0.8511325335281779,0.8441558441558441,0.8363761842022713,48,2,10,17,0.5912325382232666,-1,0.8259174102801387
pima,C45-C,-1,-1,-1,9,0.3248668366245799,0.3529411764705882,0.84,0.6507692307692309,0.7105263157894737,0.6986842105263158,0.7105263157894737,0.699840248693925,42,8,14,12,0.5503034591674805,-1,0.6791977952725246
pima,C45-C,-1,-1,-1,10,0.3811193899422075,0.375,0.88,0.6707692307692308,0.7368421052631579,0.7271627344222624,0.7368421052631579,0.7226652489810385,44,6,14,12,0.5808639526367188,-1,0.7059080333437295
pima,C45Rules-C,-1,-1,-1,1,0.3616796760596307,0.425,0.74,0.6848148148148149,0.7012987012987013,0.7098922354241503,0.7012987012987013,0.7045401695428826,37,13,10,17,1.2810757160186768,-1,0.6817373257329192
pima,C45Rules-C,-1,-1,-1,2,0.3623286509262706,0.4054054054054054,0.8,0.6777777777777778,0.7142857142857143,0.70989010989011,0.7142857142857143,0.7115923292393881,40,10,12,15,1.115983486175537,-1,0.6898014142312952
pima,C45Rules-C,-1,-1,-1,3,0.349754259914075,0.4102564102564102,0.76,0.6762962962962963,0.7012987012987013,0.7039491121123773,0.7012987012987013,0.702505575232848,38,12,11,16,1.002432346343994,-1,0.6792883432044973
pima,C45Rules-C,-1,-1,-1,4,0.4957421042418413,0.46875,0.9,0.7277777777777779,0.7792207792207793,0.7756322624743677,0.7792207792207793,0.7700015236304757,45,5,12,15,1.0347325801849363,-1,0.7554734802405725
pima,C45Rules-C,-1,-1,-1,5,0.463223694813257,0.4375,0.9,0.7092592592592593,0.7662337662337663,0.7621797440309238,0.7662337662337663,0.7545642763034068,45,5,13,14,1.171172857284546,-1,0.7404765211485582
pima,C45Rules-C,-1,-1,-1,6,0.378691704962503,0.4,0.84,0.6792592592592592,0.7272727272727273,0.71900826446281,0.7272727272727273,0.7198515769944341,42,8,13,14,1.2883703708648682,-1,0.7006627762490434
pima,C45Rules-C,-1,-1,-1,7,0.3743883901333836,0.4390243902439024,0.72,0.6933333333333334,0.7012987012987013,0.7167207792207793,0.7012987012987013,0.7060949754972948,36,14,9,18,0.965008020401001,-1,0.6842697441819938
pima,C45Rules-C,-1,-1,-1,8,0.4023817477999735,0.4651162790697674,0.68,0.7103703703703702,0.7012987012987013,0.7332910991447577,0.7012987012987013,0.7078635650064223,34,16,7,20,0.9707794189453124,-1,0.6896090391726333
pima,C45Rules-C,-1,-1,-1,9,0.3454408611617303,0.3888888888888889,0.8,0.6692307692307693,0.7105263157894737,0.7056342780026992,0.7105263157894737,0.7075748194014448,40,10,12,14,0.7879507541656494,-1,0.6841124614116628
